model,threshold,PR_AUC,ROC_AUC,precision,recall,specificity,NPV,FPR,balanced_accuracy,youden_J,MCC,alerts_per_1000,TP,FP,FN,TN
LightGBM + weighted,0.635590465254012,0.8276981712672012,0.9668522597733676,0.9722222222222222,0.7368421052631579,0.999964696121869,0.9995588806154497,3.530387813101269e-05,0.8684034006925134,0.7368068013850269,0.8461766517862798,1.2688118986360273,70,2,25,56649
XGBoost + weighted,0.6827245354652405,0.8157476961788339,0.966693578131663,0.9726027397260274,0.7473684210526316,0.999964696121869,0.9995765179185856,3.530387813101269e-05,0.8736665585872503,0.7473331171745006,0.8523741872370025,1.286434286117083,71,2,24,56649
RandomForest + weighted,0.35500000000000004,0.8133092336699745,0.9396124377420754,0.9571428571428572,0.7052631578947368,0.9999470441828034,0.999505963723622,5.2955817196519035e-05,0.8526051010387701,0.7052102020775401,0.8213638099408145,1.2335671236739154,67,3,28,56648
RandomForest + SMOTE,0.4650000000000001,0.8087405435232853,0.9603147247830437,0.8571428571428571,0.7578947368421053,0.9997881767312139,0.9995940842187003,0.00021182326878607614,0.8788414567866596,0.7576829135733192,0.805689109952914,1.4802805484086985,72,12,23,56639
XGBoost + SMOTE,0.9919681549072266,0.8074993994644766,0.9705008226732654,0.9852941176470589,0.7052631578947368,0.9999823480609344,0.9995059811567099,1.7651939065506346e-05,0.8526227529778356,0.7052455059556713,0.833382171603196,1.1983223487118035,67,1,28,56650
LightGBM + SMOTE,0.9794791325937952,0.7744672884666701,0.9684160357646867,0.9305555555555556,0.7052631578947368,0.9999117403046724,0.9995059462893038,8.825969532753173e-05,0.8525874490997046,0.7051748981994093,0.809849384072519,1.2688118986360273,67,5,28,56646
LogisticRegression + SMOTE,0.9999990794379012,0.6892743477502572,0.9574606849509787,0.8372093023255814,0.7578947368421053,0.9997528728530829,0.9995940698905753,0.0002471271469170888,0.878823804847594,0.7576476096951881,0.7962424723314149,1.5155253233708104,72,14,23,56637
LogisticRegression + weighted,0.9999989596253476,0.6878616235739281,0.9635658403391403,0.8470588235294118,0.7578947368421053,0.9997705247921485,0.9995940770547643,0.0002294752078515825,0.8788326308171268,0.7576652616342536,0.8009241483651929,1.4979029358897544,72,13,23,56638
