model,PR_AUC,ROC_AUC,precision,recall,f1,threshold,TP,FP,FN,TN
Class weighting,0.8276981712672012,0.9668522597733676,0.9722222222222222,0.7368421052631579,0.8383233532934131,0.635590465254012,70,2,25,56649
Random oversampling,0.8150007372696599,0.9647546519827308,0.9012345679012346,0.7684210526315789,0.8295454545454546,0.014606907743161675,73,8,22,56643
SMOTE,0.7744672884666701,0.9684160357646867,0.9305555555555556,0.7052631578947368,0.8023952095808383,0.9794791325937952,67,5,28,56646
Random undersampling,0.5475722675331849,0.9660973142110187,0.7659574468085106,0.37894736842105264,0.5070422535211268,0.999999977854814,36,11,59,56640
