model,bin,bin_lo,bin_hi,count,mean_predicted,observed_rate,ECE,brier
RandomForest + SMOTE,3,0.30000000000000004,0.4,7,0.3364285714285714,0.42857142857142855,0.002515595812920734,0.0006068568709688789
RandomForest + SMOTE,4,0.4,0.5,10,0.44799999999999995,0.4,0.002515595812920734,0.0006068568709688789
RandomForest + SMOTE,5,0.5,0.6000000000000001,4,0.56,0.25,0.002515595812920734,0.0006068568709688789
RandomForest + SMOTE,6,0.6000000000000001,0.7000000000000001,7,0.6707142857142857,0.5714285714285714,0.002515595812920734,0.0006068568709688789
RandomForest + SMOTE,7,0.7000000000000001,0.8,3,0.7633333333333333,0.3333333333333333,0.002515595812920734,0.0006068568709688789
RandomForest + SMOTE,8,0.8,0.9,12,0.8541666666666665,0.9166666666666666,0.002515595812920734,0.0006068568709688789
RandomForest + SMOTE,9,0.9,1.0,54,0.9814814814814815,0.9814814814814815,0.002515595812920734,0.0006068568709688789
XGBoost + SMOTE,0,0.0,0.1,56514,0.00044143496779724956,0.00030081041865732386,0.001057747481041502,0.0008718279423192143
XGBoost + SMOTE,1,0.1,0.2,62,0.14029371738433838,0.0,0.001057747481041502,0.0008718279423192143
XGBoost + SMOTE,2,0.2,0.30000000000000004,36,0.2463112473487854,0.0,0.001057747481041502,0.0008718279423192143
XGBoost + SMOTE,3,0.30000000000000004,0.4,11,0.3386501967906952,0.18181818181818182,0.001057747481041502,0.0008718279423192143
XGBoost + SMOTE,4,0.4,0.5,9,0.4454508423805237,0.1111111111111111,0.001057747481041502,0.0008718279423192143
XGBoost + SMOTE,5,0.5,0.6000000000000001,4,0.5300933718681335,0.0,0.001057747481041502,0.0008718279423192143
XGBoost + SMOTE,6,0.6000000000000001,0.7000000000000001,8,0.6437832713127136,0.0,0.001057747481041502,0.0008718279423192143
XGBoost + SMOTE,7,0.7000000000000001,0.8,10,0.7600287199020386,0.0,0.001057747481041502,0.0008718279423192143
XGBoost + SMOTE,8,0.8,0.9,9,0.8426423072814941,0.4444444444444444,0.001057747481041502,0.0008718279423192143
XGBoost + SMOTE,9,0.9,1.0,83,0.9918234944343567,0.8554216867469879,0.001057747481041502,0.0008718279423192143
LightGBM + SMOTE,0,0.0,0.1,56650,9.511724482860547e-06,0.0004236540158870256,0.0006527501041195689,0.0006426588590603501
LightGBM + SMOTE,1,0.1,0.2,4,0.1299862103267502,0.0,0.0006527501041195689,0.0006426588590603501
LightGBM + SMOTE,2,0.2,0.30000000000000004,5,0.24897935442773064,0.4,0.0006527501041195689,0.0006426588590603501
LightGBM + SMOTE,3,0.30000000000000004,0.4,5,0.3429683733491681,0.2,0.0006527501041195689,0.0006426588590603501
LightGBM + SMOTE,4,0.4,0.5,2,0.45285031153004085,0.0,0.0006527501041195689,0.0006426588590603501
LightGBM + SMOTE,7,0.7000000000000001,0.8,4,0.75330809124207,0.0,0.0006527501041195689,0.0006426588590603501
LightGBM + SMOTE,8,0.8,0.9,2,0.8725629346372525,0.5,0.0006527501041195689,0.0006426588590603501
LightGBM + SMOTE,9,0.9,1.0,74,0.9989979433392708,0.9054054054054054,0.0006527501041195689,0.0006426588590603501
