model,PR_AUC,ROC_AUC,precision,recall,f1,threshold,TP,FP,FN,TN
LightGBM + weighted,0.8276981712672012,0.9668522597733676,0.9722222222222222,0.7368421052631579,0.8383233532934131,0.635590465254012,70,2,25,56649
XGBoost + weighted,0.8157476961788339,0.966693578131663,0.9726027397260274,0.7473684210526316,0.8452380952380952,0.6827245354652405,71,2,24,56649
RandomForest + weighted,0.8133092336699745,0.9396124377420754,0.9571428571428572,0.7052631578947368,0.8121212121212121,0.35500000000000004,67,3,28,56648
RandomForest + SMOTE,0.8087405435232853,0.9603147247830437,0.8571428571428571,0.7578947368421053,0.8044692737430168,0.4650000000000001,72,12,23,56639
XGBoost + SMOTE,0.8074993994644766,0.9705008226732654,0.9852941176470589,0.7052631578947368,0.8220858895705522,0.9919681549072266,67,1,28,56650
LightGBM + SMOTE,0.7744672884666701,0.9684160357646867,0.9305555555555556,0.7052631578947368,0.8023952095808383,0.9794791325937952,67,5,28,56646
LogisticRegression + SMOTE,0.6892743477502572,0.9574606849509787,0.8372093023255814,0.7578947368421053,0.7955801104972375,0.9999990794379012,72,14,23,56637
LogisticRegression + weighted,0.6878616235739281,0.9635658403391403,0.8470588235294118,0.7578947368421053,0.8,0.9999989596253476,72,13,23,56638
Baseline (always legit),0.0016741268107003137,0.5,0.0,0.0,0.0,,0,0,95,56651
