threshold,missed_frauds,false_alarms,fraud_loss_eur,review_cost_eur,total_cost_eur,is_cost_optimal,is_tuned_threshold
0.515,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.52,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.525,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.53,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.535,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.54,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.545,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.55,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.555,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.56,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.565,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.57,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.575,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.58,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.585,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.59,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.595,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.6,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.605,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.61,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.615,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.62,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.625,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.63,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.635,25,2,3813.2799999999997,6.0,3819.2799999999997,False,True
0.64,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.645,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.65,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.655,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.66,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.665,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.67,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.675,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.68,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.685,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.69,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.695,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.7,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.705,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.71,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.715,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.72,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.725,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.73,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.735,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.74,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.745,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.75,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.755,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
