model,PR_AUC,PR_AUC_lo95,PR_AUC_hi95,precision,precision_lo95,precision_hi95,recall,recall_lo95,recall_hi95,recall_cp_lo95,recall_cp_hi95
LightGBM + weighted,0.8276981712672012,0.7513478800341592,0.8994644923624919,0.9722222222222222,0.9042582477856177,0.9923489780955054,0.7368421052631579,0.6403397907589585,0.8149347523012911,0.636492912816042,0.8219042752141079
XGBoost + weighted,0.8157476961788339,0.7380922954024126,0.8901588909156827,0.9726027397260274,0.9054985182830946,0.9924542413203923,0.7473684210526316,0.6515543870202924,0.8239545801759682,0.6478111837720905,0.8309450173648212
RandomForest + weighted,0.8133092336699745,0.7307204661232048,0.8843635396321159,0.9571428571428572,0.8814033125147246,0.9853184589958887,0.7052631578947368,0.6070505934821107,0.7875206771701055,0.6029021634936769,0.7944055057593192
RandomForest + SMOTE,0.8087405435232853,0.7340319650843424,0.8794717264086979,0.8571428571428571,0.7666989708237691,0.9163497945943307,0.7578947368421053,0.6628317922510378,0.8329115990812341,0.6591939443109961,0.8399187944769726
XGBoost + SMOTE,0.8074993994644766,0.7329845865443797,0.8801290563812572,0.9852941176470589,0.9212902687183916,0.9973993164238933,0.7052631578947368,0.6070505934821107,0.7875206771701055,0.6029021634936769,0.7944055057593192
LightGBM + SMOTE,0.7744672884666701,0.6877954681461855,0.854256110673296,0.9305555555555556,0.8475202051632649,0.9699746184342299,0.7052631578947368,0.6070505934821107,0.7875206771701055,0.6029021634936769,0.7944055057593192
LogisticRegression + SMOTE,0.6892743477502572,0.5812926906704571,0.7892932226412187,0.8372093023255814,0.7451029913702094,0.900478689530104,0.7578947368421053,0.6628317922510378,0.8329115990812341,0.6591939443109961,0.8399187944769726
LogisticRegression + weighted,0.6878616235739281,0.5798653130339597,0.7853597969327767,0.8470588235294118,0.7557181632390801,0.9083861950546959,0.7578947368421053,0.6628317922510378,0.8329115990812341,0.6591939443109961,0.8399187944769726
